ep-829488 FCC(F)(OC(F)(F)F)C(F)(F)F
ep-856603 FC1=C(F)C(C(F)(F)F)=CC(F)O1
ep-856604 FC1=C(F)C(C(F)F)=C(F)C(F)O1
ep-856605 FC1=C(F)C(C(F)F)=CC(F)(F)O1
ep-856606 FCC1=C(F)C(F)(F)OC(F)=C1F
ep-856607 FC1=CC(C(F)(F)F)=C(F)C(F)O1
ep-856608 FC1=CC(C(F)(F)F)=CC(F)(F)O1
ep-856609 FC1=CC(C(F)F)=C(F)C(F)(F)O1
ep-856610 FC1=COC(F)C(F)=C1C(F)(F)F
ep-856611 FC1=COC(F)(F)C=C1C(F)(F)F
ep-856612 FC1=COC(F)(F)C(F)=C1C(F)F
ep-856613 FC1=C(C(F)(F)F)C=COC1(F)F
ep-856614 FCC(F)(F)C(F)(F)C(F)=C1CO1
ep-856615 CC(F)(F)C(F)(F)C(F)=C1OC1F
ep-856616 FC(=C1CO1)C(F)(F)C(F)C(F)F
ep-856617 FCC(F)C(F)(F)C(F)=C1OC1F
ep-856618 CC(F)C(F)(F)C(F)=C1OC1(F)F
ep-856619 FC(=C1CO1)C(F)(F)CC(F)(F)F
ep-856620 FC(=C1OC1F)C(F)(F)CC(F)F
ep-856621 FCCC(F)(F)C(F)=C1OC1(F)F
ep-856622 FC(=C1CO1)C(F)C(F)(F)C(F)F
ep-856623 FCC(F)(F)C(F)C(F)=C1OC1F
ep-856624 CC(F)(F)C(F)C(F)=C1OC1(F)F
ep-856625 FC(=C1CO1)C(F)C(F)C(F)(F)F
ep-856626 FC(=C1OC1F)C(F)C(F)C(F)F
ep-856627 FCC(F)C(F)C(F)=C1OC1(F)F
ep-856628 FC(=C1OC1F)C(F)CC(F)(F)F
ep-856629 FC(=C1OC1(F)F)C(F)CC(F)F
ep-856630 FC(CC(F)(F)C(F)(F)F)=C1CO1
ep-856631 FC(CC(F)(F)C(F)F)=C1OC1F
ep-856632 FCC(F)(F)CC(F)=C1OC1(F)F
ep-856633 FC(CC(F)C(F)(F)F)=C1OC1F
ep-856634 FC(CC(F)C(F)F)=C1OC1(F)F
ep-856635 FC(CCC(F)(F)F)=C1OC1(F)F
ep-856636 FC(F)C(F)(F)C(F)(F)C=C1CO1
ep-856637 FCC(F)(F)C(F)(F)C=C1OC1F
ep-856638 CC(F)(F)C(F)(F)C=C1OC1(F)F
ep-856639 FC(C(F)(F)F)C(F)(F)C=C1CO1
ep-856640 FC1OC1=CC(F)(F)C(F)C(F)F
ep-856641 FCC(F)C(F)(F)C=C1OC1(F)F
ep-856642 FC1OC1=CC(F)(F)CC(F)(F)F
ep-856643 FC(F)CC(F)(F)C=C1OC1(F)F
ep-856644 FC(C=C1CO1)C(F)(F)C(F)(F)F
ep-856645 FC1OC1=CC(F)C(F)(F)C(F)F
ep-856646 FCC(F)(F)C(F)C=C1OC1(F)F
ep-856647 FC1OC1=CC(F)C(F)C(F)(F)F
ep-856648 FC(F)C(F)C(F)C=C1OC1(F)F
ep-856649 FC(C=C1OC1(F)F)CC(F)(F)F
ep-856650 FC1OC1=CCC(F)(F)C(F)(F)F
ep-856651 FC(F)C(F)(F)CC=C1OC1(F)F
ep-856652 FC(CC=C1OC1(F)F)C(F)(F)F
ep-856726 CC1(F)C(F)OC(F)=C(F)C1(F)F
ep-856727 FCC1(F)COC(F)=C(F)C1(F)F
ep-856728 CC1C(F)(F)OC(F)=C(F)C1(F)F
ep-856729 FCC1C(F)OC(F)=C(F)C1(F)F
ep-856730 FC1=C(F)C(F)(F)C(C(F)F)CO1
ep-856731 CC1(F)C(F)C(F)=C(F)OC1(F)F
ep-856732 FCC1(F)C(F)OC(F)=C(F)C1F
ep-856733 FC1=C(F)C(F)C(F)(C(F)F)CO1
ep-856734 FCC1C(F)C(F)=C(F)OC1(F)F
ep-856735 FC1=C(F)C(F)C(C(F)F)C(F)O1
ep-856736 FC1=C(F)C(F)C(C(F)(F)F)CO1
ep-856737 FCC1(F)CC(F)=C(F)OC1(F)F
ep-856738 FC1=C(F)OC(F)C(F)(C(F)F)C1
ep-856739 FC1=C(F)OCC(F)(C(F)(F)F)C1
ep-856740 FC1=C(F)OC(F)(F)C(C(F)F)C1
ep-856741 FC1=C(F)OC(F)C(C(F)(F)F)C1
ep-856742 CC1(F)C(F)(F)C=C(F)OC1(F)F
ep-856743 FCC1(F)C(F)OC(F)=CC1(F)F
ep-856744 FC1=CC(F)(F)C(F)(C(F)F)CO1
ep-856745 FCC1C(F)(F)C=C(F)OC1(F)F
ep-856746 FC1=CC(F)(F)C(C(F)F)C(F)O1
ep-856747 FC1=CC(F)(F)C(C(F)(F)F)CO1
ep-856748 FCC1(F)C(F)C=C(F)OC1(F)F
ep-856749 FC1=CC(F)C(F)(C(F)F)C(F)O1
ep-856750 FC1=CC(F)C(F)(C(F)(F)F)CO1
ep-856751 FC1=CC(F)C(C(F)F)C(F)(F)O1
ep-856752 FC1=CC(F)C(C(F)(F)F)C(F)O1
ep-856753 FC1=CCC(F)(C(F)F)C(F)(F)O1
ep-856754 FC1=CCC(F)(C(F)(F)F)C(F)O1
ep-856755 FC1=CCC(C(F)(F)F)C(F)(F)O1
ep-856756 CC1(F)C(F)(F)OC=C(F)C1(F)F
ep-856757 FCC1(F)C(F)OC=C(F)C1(F)F
ep-856758 FC1=COCC(F)(C(F)F)C1(F)F
ep-856759 FCC1C(F)(F)OC=C(F)C1(F)F
ep-856760 FC1=COC(F)C(C(F)F)C1(F)F
ep-856761 FC1=COCC(C(F)(F)F)C1(F)F
ep-856762 FCC1(F)C(F)C(F)=COC1(F)F
ep-856763 FC1=COC(F)C(F)(C(F)F)C1F
ep-856764 FC1=COCC(F)(C(F)(F)F)C1F
ep-856765 FC1=COC(F)(F)C(C(F)F)C1F
ep-856766 FC1=COC(F)C(C(F)(F)F)C1F
ep-856767 FC1=COC(F)(F)C(F)(C(F)F)C1
ep-856768 FC1=COC(F)C(F)(C(F)(F)F)C1
ep-856769 FC1=COC(F)(F)C(C(F)(F)F)C1
ep-856770 FCC1(F)C(F)(F)C=COC1(F)F
ep-856771 FC(F)C1(F)C(F)OC=CC1(F)F
ep-856772 FC(F)(F)C1(F)COC=CC1(F)F
ep-856773 FC(F)C1C(F)(F)C=COC1(F)F
ep-856774 FC1OC=CC(F)(F)C1C(F)(F)F
ep-856775 FC(F)C1(F)C(F)C=COC1(F)F
ep-856776 FC1C=COC(F)C1(F)C(F)(F)F
ep-856777 FC1C=COC(F)(F)C1C(F)(F)F
ep-856778 FC(F)(F)C1(F)CC=COC1(F)F
ep-856842 FC1=C(F)C(F)(F)C(F)(F)CCO1
ep-856843 FC1=C(F)C(F)(F)C(F)C(F)CO1
ep-856844 FC1=C(F)C(F)(F)C(F)CC(F)O1
ep-856845 FC1=C(F)C(F)(F)CC(F)(F)CO1
ep-856846 FC1=C(F)C(F)(F)CC(F)C(F)O1
ep-856847 FC1=C(F)C(F)(F)CCC(F)(F)O1
ep-856848 FC1=C(F)C(F)C(F)(F)C(F)CO1
ep-856849 FC1=C(F)C(F)C(F)(F)CC(F)O1
ep-856850 FC1=C(F)C(F)C(F)C(F)(F)CO1
ep-856851 FC1=C(F)C(F)C(F)C(F)C(F)O1
ep-856852 FC1=C(F)C(F)C(F)CC(F)(F)O1
ep-856853 FC1=C(F)C(F)CC(F)(F)C(F)O1
ep-856854 FC1=C(F)C(F)CC(F)C(F)(F)O1
ep-856855 FC1=C(F)OCC(F)(F)C(F)(F)C1
ep-856856 FC1=C(F)OC(F)C(F)C(F)(F)C1
ep-856857 FC1=C(F)OC(F)(F)CC(F)(F)C1
ep-856858 FC1=C(F)OC(F)C(F)(F)C(F)C1
ep-856859 FC1=C(F)OC(F)(F)C(F)C(F)C1
ep-856860 FC1=C(F)OC(F)(F)C(F)(F)CC1
ep-856861 FC1=CC(F)(F)C(F)(F)C(F)CO1
ep-856862 FC1=CC(F)(F)C(F)(F)CC(F)O1
ep-856863 FC1=CC(F)(F)C(F)C(F)(F)CO1
ep-856864 FC1=CC(F)(F)C(F)C(F)C(F)O1
ep-856865 FC1=CC(F)(F)C(F)CC(F)(F)O1
ep-856866 FC1=CC(F)(F)CC(F)(F)C(F)O1
ep-856867 FC1=CC(F)(F)CC(F)C(F)(F)O1
ep-856868 FC1=CC(F)C(F)(F)C(F)(F)CO1
ep-856869 FC1=CC(F)C(F)(F)C(F)C(F)O1
ep-856870 FC1=CC(F)C(F)(F)CC(F)(F)O1
ep-856871 FC1=CC(F)C(F)C(F)(F)C(F)O1
ep-856872 FC1=CC(F)C(F)C(F)C(F)(F)O1
ep-856873 FC1=CC(F)CC(F)(F)C(F)(F)O1
ep-856874 FC1=CCC(F)(F)C(F)(F)C(F)O1
ep-856875 FC1=CCC(F)(F)C(F)C(F)(F)O1
ep-856876 FC1=CCC(F)C(F)(F)C(F)(F)O1
ep-856877 FC1=COCC(F)C(F)(F)C1(F)F
ep-856878 FC1=COC(F)CC(F)(F)C1(F)F
ep-856879 FC1=COCC(F)(F)C(F)C1(F)F
ep-856880 FC1=COC(F)C(F)C(F)C1(F)F
ep-856881 FC1=COC(F)(F)CC(F)C1(F)F
ep-856882 FC1=COC(F)C(F)(F)CC1(F)F
ep-856883 FC1=COC(F)(F)C(F)CC1(F)F
ep-856884 FC1=COCC(F)(F)C(F)(F)C1F
ep-856885 FC1=COC(F)C(F)C(F)(F)C1F
ep-856886 FC1=COC(F)(F)CC(F)(F)C1F
ep-856887 FC1=COC(F)C(F)(F)C(F)C1F
ep-856888 FC1=COC(F)(F)C(F)C(F)C1F
ep-856889 FC1=COC(F)(F)C(F)(F)CC1F
ep-856890 FC1=COC(F)C(F)(F)C(F)(F)C1
ep-856891 FC1=COC(F)(F)C(F)C(F)(F)C1
ep-856892 FC1=COC(F)(F)C(F)(F)C(F)C1
ep-856893 FC1(F)C=COCC(F)(F)C1(F)F
ep-856894 FC1OC=CC(F)(F)C(F)(F)C1F
ep-856895 FC1(F)CC(F)(F)C(F)(F)C=CO1
ep-856896 FC1OC=CC(F)(F)C(F)C1(F)F
ep-856897 FC1C(F)C(F)(F)OC=CC1(F)F
ep-856898 FC1(F)C=COC(F)(F)C(F)(F)C1
ep-856899 FC1C=COC(F)C(F)(F)C1(F)F
ep-856900 FC1C=COC(F)(F)C(F)C1(F)F
ep-856901 FC1C=COC(F)(F)C(F)(F)C1F
ep-856902 FC1(F)CC=COC(F)(F)C1(F)F
ep-856965 C=C1OC(F)=C(F)C(F)(F)C1(F)F
ep-856966 FC=C1OC(F)=C(F)C(F)(F)C1F
ep-856967 FC(F)=C1CC(F)(F)C(F)=C(F)O1
ep-856968 FC=C1OC(F)=C(F)C(F)C1(F)F
ep-856969 FC(F)=C1OC(F)=C(F)C(F)C1F
ep-856970 FC(F)=C1OC(F)=C(F)CC1(F)F
ep-856971 FC=C1OC(F)=CC(F)(F)C1(F)F
ep-856972 FC1=CC(F)(F)C(F)C(=C(F)F)O1
ep-856973 FC1=CC(F)C(F)(F)C(=C(F)F)O1
ep-856974 FC=C1OC=C(F)C(F)(F)C1(F)F
ep-856975 FC1=COC(=C(F)F)C(F)C1(F)F
ep-856976 FC1=COC(=C(F)F)C(F)(F)C1F
ep-856977 FC(F)=C1OC=CC(F)(F)C1(F)F
ep-856978 FC1=C(F)C(F)(F)C(F)(F)C=CO1
ep-856979 FC1=COC(F)=C(F)C(F)(F)C1F
ep-856980 FC1=CC(F)C(F)(F)C(F)=C(F)O1
ep-856981 FC1=C(F)OC(F)=C(F)C(F)(F)C1
ep-856982 FC1=COC(F)=C(F)C(F)C1(F)F
ep-856983 FC1=CC(F)(F)C(F)C(F)=C(F)O1
ep-856984 FC1=C(F)C(F)C(F)C(F)=C(F)O1
ep-856985 FC1=CC(F)(F)C(F)(F)C(F)=CO1
ep-856986 FC1=CC(F)(F)C(F)(F)C=C(F)O1
ep-856987 FC1=COC=C(F)C(F)(F)C1(F)F
ep-856988 FCC1=C(F)C(F)(F)C(=C(F)F)O1
ep-856989 FC=C1OC(C(F)F)=C(F)C1(F)F
ep-856990 C=C1OC(C(F)(F)F)=C(F)C1(F)F
ep-856991 FC(F)=C1OC(C(F)F)=C(F)C1F
ep-856992 FC=C1OC(C(F)(F)F)=C(F)C1F
ep-856993 FC(F)=C1CC(F)=C(C(F)(F)F)O1
ep-856994 FC(F)=C1OC(C(F)F)=CC1(F)F
ep-856995 FC=C1OC(C(F)(F)F)=CC1(F)F
ep-856996 FC(F)=C1OC(C(F)(F)F)=CC1F
ep-856997 FC(F)=C(F)C(F)(F)C(F)=C1CO1
ep-856998 FC=C(F)C(F)(F)C(F)=C1OC1F
ep-856999 C=C(F)C(F)(F)C(F)=C1OC1(F)F
ep-857000 FC(F)=CC(F)(F)C(F)=C1OC1F
ep-857001 FC=CC(F)(F)C(F)=C1OC1(F)F
ep-857002 FC(F)=C(F)C(F)C(F)=C1OC1F
ep-857003 FC=C(F)C(F)C(F)=C1OC1(F)F
ep-857004 FC(F)=CC(F)C(F)=C1OC1(F)F
ep-857005 FC(F)=C(F)CC(F)=C1OC1(F)F
ep-857006 FC(F)=C(F)C(F)(F)C=C1OC1F
ep-857007 FC=C(F)C(F)(F)C=C1OC1(F)F
ep-857008 FC(F)=CC(F)(F)C=C1OC1(F)F
ep-857009 FC(F)=C(F)C(F)C=C1OC1(F)F
ep-857015 FC1=C(F)C(F)(F)C(F)=C(F)OC1
ep-857016 FC1=CC(F)OC(F)=C(F)C1(F)F
ep-857017 FC1=CC(F)(F)C(F)=C(F)OC1F
ep-857018 FC1=C(F)C(F)(F)C=CC(F)(F)O1
ep-857019 FC1=C(F)C(F)C(F)=C(F)C(F)O1
ep-857020 FC1=CC(F)(F)OC(F)=C(F)C1F
ep-857021 FC1=CC(F)C(F)=C(F)OC1(F)F
ep-857022 FC1=C(F)OC(F)(F)C(F)=C(F)C1
ep-857023 FC1=CC(F)(F)C(F)=C(F)C(F)O1
ep-857024 FC1=CC(F)(F)C(F)=CC(F)(F)O1
ep-857025 FC1=CC(F)(F)C=C(F)C(F)(F)O1
ep-857026 FC1=CC(F)C(F)=C(F)C(F)(F)O1
ep-857027 FC1=COC(F)C(F)=C(F)C1(F)F
ep-857028 FC1=COC(F)(F)C=C(F)C1(F)F
ep-857029 FC1=COC(F)(F)C(F)=CC1(F)F
ep-857030 FC1=COC(F)(F)C(F)=C(F)C1F
ep-857031 FC1=C(F)C(F)(F)OC=CC1(F)F
ep-857032 FC#CC(F)(F)C(F)=C1OC1(F)F
ep-857033 FC1=C(F)C(F)(F)C#CC(F)(F)O1
ep-857034 FC(F)=C1OC1=C(F)OC(F)(F)F
ep-857035 FC(F)=C1OC(F)(F)OC(F)=C1F
ep-857036 FCOC(F)(F)C(F)=C1OC1(F)F
ep-857037 FC(=C1OC1F)C(F)(F)OC(F)F
ep-857038 FC(=C1CO1)C(F)(F)OC(F)(F)F
ep-857039 FC(=C1OC1(F)F)C(F)OC(F)F
ep-857040 FC(=C1OC1F)C(F)OC(F)(F)F
ep-857041 FC(COC(F)(F)F)=C1OC1(F)F
ep-857042 FC(F)OC(F)(F)C=C1OC1(F)F
ep-857043 FC1OC1=CC(F)(F)OC(F)(F)F
ep-857044 FC(C=C1OC1(F)F)OC(F)(F)F
ep-857045 FC1=C(OC(F)(F)F)COC1(F)F
ep-857046 FC1=C(OC(F)F)C(F)OC1(F)F
ep-857047 FCOC1=C(F)C(F)(F)OC1(F)F
ep-857048 FC1=C(OC(F)(F)F)C(F)OC1F
ep-857049 FC1=C(OC(F)F)C(F)(F)OC1F
ep-857050 FC1=C(OC(F)(F)F)C(F)(F)OC1
ep-857051 FC1OC(F)(F)C=C1OC(F)(F)F
ep-857052 FC(F)OC1=CC(F)(F)OC1(F)F
ep-857053 FC1C=C(OC(F)(F)F)C(F)(F)O1
ep-857054 FC(OC(F)(F)F)=C1COC1(F)F
ep-857055 FC(OC(F)F)=C1C(F)OC1(F)F
ep-857056 FCOC(F)=C1C(F)(F)OC1(F)F
ep-857057 FC(OC(F)(F)F)=C1C(F)OC1F
ep-857058 FC1OC(F)(F)C1=COC(F)(F)F
ep-857059 FC(F)OC=C1C(F)(F)OC1(F)F
ep-857060 Fc1oc(F)c(OC(F)(F)F)c1F
ep-857061 FC(OC(F)(F)F)=C(F)C1(F)CO1
ep-857062 FC(OC(F)F)=C(F)C1(F)OC1F
ep-857063 FCOC(F)=C(F)C1(F)OC1(F)F
ep-857064 FC(OC(F)(F)F)=C(F)C1OC1F
ep-857065 FC(OC(F)F)=C(F)C1OC1(F)F
ep-857066 FC(=CC1(F)OC1F)OC(F)(F)F
ep-857067 FC(=CC1(F)OC1(F)F)OC(F)F
ep-857068 FC(=CC1OC1(F)F)OC(F)(F)F
ep-857069 FC(=COC(F)(F)F)C1(F)OC1F
ep-857070 FC(=COC(F)F)C1(F)OC1(F)F
ep-857071 FC(=COC(F)(F)F)C1OC1(F)F
ep-857072 FC(F)(F)OC=CC1(F)OC1(F)F
ep-857073 FC1=C(F)C(F)(F)OCC(F)(F)O1
ep-857074 FC1=C(F)C(F)(F)OC(F)C(F)O1
ep-857075 FC1=C(F)C(F)(F)OC(F)(F)CO1
ep-857076 FC1=C(F)C(F)OC(F)C(F)(F)O1
ep-857077 FC1=C(F)C(F)OC(F)(F)C(F)O1
ep-857078 FC1=C(F)OC(F)(F)C(F)(F)OC1
ep-857079 FC1=CC(F)(F)OC(F)C(F)(F)O1
ep-857080 FC1=CC(F)(F)OC(F)(F)C(F)O1
ep-857081 FC1=CC(F)OC(F)(F)C(F)(F)O1
ep-857082 FC1=COC(F)(F)C(F)OC1(F)F
ep-857083 FC1=COC(F)C(F)(F)OC1(F)F
ep-857084 FC1=COC(F)(F)C(F)(F)OC1F
ep-857085 FC1(F)C=COC(F)(F)C(F)(F)O1
ep-857086 FC1=C(F)OC(F)(F)C(F)=C(F)O1
ep-857087 FCC#CC1(F)OC(F)(F)C1(F)F
ep-857088 FC(F)C#CC1(F)OC(F)(F)C1F
ep-857089 FC(F)(F)C#CC1(F)CC(F)(F)O1
ep-857090 FC(F)C#CC1(F)OC(F)C1(F)F
ep-857091 FC1OC(F)(C#CC(F)(F)F)C1F
ep-857092 FC(F)(F)C#CC1(F)OCC1(F)F
ep-857093 FC(F)C#CC1OC(F)(F)C1(F)F
ep-857094 FC1C(C#CC(F)(F)F)OC1(F)F
ep-857095 FC1OC(C#CC(F)(F)F)C1(F)F
ep-857096 FC1=C(C(F)(F)F)OC(F)(F)C#C1
ep-857097 FC1=C(F)C(F)(F)OC(F)(F)C#C1
ep-857098 FC#CC1(F)OC(F)(F)C(F)(F)O1
ep-857099 FC#CC1(F)OC1(F)C(F)=C(F)F
ep-857100 FC(F)(F)C#CC1(F)OC(F)(F)O1
ep-857101 FC#COC1(F)OC(F)(F)C1(F)F
ep-857102 FC(F)(F)OC1(F)OC#CC1(F)F
ep-857103 C=C1OC(=C(F)F)C1(F)C(F)(F)F
ep-857104 FC=C1OC(=CF)C1(F)C(F)(F)F
ep-857105 FC=C1OC(=C(F)F)C1(F)C(F)F
ep-857106 FCC1(F)C(=C(F)F)OC1=C(F)F
ep-857107 FC=C1OC(=C(F)F)C1C(F)(F)F
ep-857108 FC(F)=C1OC(=C(F)F)C1C(F)F
ep-857109 C=C1OC(=C(F)F)C(F)(F)C1(F)F
ep-857110 FC=C1OC(=CF)C(F)(F)C1(F)F
ep-857111 FC=C1OC(=C(F)F)C(F)C1(F)F
ep-857112 FC=C1OC(=C(F)F)C(F)(F)C1F
ep-857113 FC(F)=C1CC(F)(F)C(=C(F)F)O1
ep-857114 FC(F)=C1OC(=C(F)F)C(F)C1F
ep-857115 C=C1OC(F)=C(F)C1(F)C(F)(F)F
ep-857116 FC=C1OC(F)=CC1(F)C(F)(F)F
ep-857117 FC=C1OC(F)=C(F)C1(F)C(F)F
ep-857118 FC1=CC(F)(C(F)F)C(=C(F)F)O1
ep-857119 FCC1(F)C(F)=C(F)OC1=C(F)F
ep-857120 FC=C1OC(F)=C(F)C1C(F)(F)F
ep-857121 FC1=CC(C(F)(F)F)C(=C(F)F)O1
ep-857122 FC(F)=C1OC(F)=C(F)C1C(F)F
ep-857123 FC=C1OC=C(F)C1(F)C(F)(F)F
ep-857124 FC(F)=C1OC=CC1(F)C(F)(F)F
ep-857125 FC1=COC(=C(F)F)C1(F)C(F)F
ep-857126 FC1=COC(=C(F)F)C1C(F)(F)F
ep-857127 C=C1CC(F)(C(F)(F)F)C(F)(F)O1
ep-857128 FC=C1CC(F)(C(F)F)C(F)(F)O1
ep-857129 C=C1OC(F)(F)C(F)(C(F)F)C1F
ep-857130 FCC1(F)CC(=C(F)F)OC1(F)F
ep-857131 FC=C1OC(F)(F)C(F)(CF)C1F
ep-857132 C=C1OC(F)(F)C(F)(CF)C1(F)F
ep-857133 CC1(F)C(F)C(=C(F)F)OC1(F)F
ep-857134 CC1(F)C(F)(F)OC(=CF)C1(F)F
ep-857135 FC=C1CC(C(F)(F)F)C(F)(F)O1
ep-857136 C=C1OC(F)(F)C(C(F)(F)F)C1F
ep-857137 FC(F)=C1CC(C(F)F)C(F)(F)O1
ep-857138 FC=C1OC(F)(F)C(C(F)F)C1F
ep-857139 C=C1OC(F)(F)C(C(F)F)C1(F)F
ep-857140 FCC1C(F)C(=C(F)F)OC1(F)F
ep-857141 FC=C1OC(F)(F)C(CF)C1(F)F
ep-857142 CC1C(F)(F)OC(=C(F)F)C1(F)F
ep-857143 FC=C1CC(F)(C(F)(F)F)C(F)O1
ep-857144 C=C1OC(F)C(F)(C(F)(F)F)C1F
ep-857145 FC(F)=C1CC(F)(C(F)F)C(F)O1
ep-857146 FC=C1OC(F)C(F)(C(F)F)C1F
ep-857147 C=C1OC(F)C(F)(C(F)F)C1(F)F
ep-857148 FCC1(F)C(F)OC(=C(F)F)C1F
ep-857149 FC=C1OC(F)C(F)(CF)C1(F)F
ep-857150 CC1(F)C(F)OC(=C(F)F)C1(F)F
ep-857151 FC(F)=C1CC(C(F)(F)F)C(F)O1
ep-857152 FC=C1OC(F)C(C(F)(F)F)C1F
ep-857153 C=C1OC(F)C(C(F)(F)F)C1(F)F
ep-857154 FC(F)=C1OC(F)C(C(F)F)C1F
ep-857155 FC=C1OC(F)C(C(F)F)C1(F)F
ep-857156 FCC1C(F)OC(=C(F)F)C1(F)F
ep-857157 FC(F)=C1CC(F)(C(F)(F)F)CO1
ep-857158 FC=C1OCC(F)(C(F)(F)F)C1F
ep-857159 C=C1OCC(F)(C(F)(F)F)C1(F)F
ep-857160 FC(F)=C1OCC(F)(C(F)F)C1F
ep-857161 FC=C1OCC(F)(C(F)F)C1(F)F
ep-857162 FCC1(F)COC(=C(F)F)C1(F)F
ep-857163 FC(F)=C1OCC(C(F)(F)F)C1F
ep-857164 FC=C1OCC(C(F)(F)F)C1(F)F
ep-857165 FC(F)=C1OCC(C(F)F)C1(F)F
ep-857166 C=C1CC(F)(F)C(F)(F)C(F)(F)O1
ep-857167 FC=C1CC(F)C(F)(F)C(F)(F)O1
ep-857168 C=C1OC(F)(F)C(F)(F)C(F)C1F
ep-857169 FC(F)=C1CCC(F)(F)C(F)(F)O1
ep-857170 FC=C1OC(F)(F)C(F)(F)CC1F
ep-857171 C=C1OC(F)(F)C(F)(F)CC1(F)F
ep-857172 FC=C1CC(F)(F)C(F)C(F)(F)O1
ep-857173 C=C1OC(F)(F)C(F)C(F)(F)C1F
ep-857174 FC(F)=C1CC(F)C(F)C(F)(F)O1
ep-857175 FC=C1OC(F)(F)C(F)C(F)C1F
ep-857176 C=C1OC(F)(F)C(F)C(F)C1(F)F
ep-857177 FC(F)=C1OC(F)(F)C(F)CC1F
ep-857178 FC=C1OC(F)(F)C(F)CC1(F)F
ep-857179 FC(F)=C1CC(F)(F)CC(F)(F)O1
ep-857180 FC=C1OC(F)(F)CC(F)(F)C1F
ep-857181 C=C1OC(F)(F)CC(F)(F)C1(F)F
ep-857182 FC(F)=C1OC(F)(F)CC(F)C1F
ep-857183 FC=C1OC(F)(F)CC(F)C1(F)F
ep-857184 FC(F)=C1OC(F)(F)CCC1(F)F
ep-857185 FC=C1CC(F)(F)C(F)(F)C(F)O1
ep-857186 C=C1OC(F)C(F)(F)C(F)(F)C1F
ep-857187 FC(F)=C1CC(F)C(F)(F)C(F)O1
ep-857188 FC=C1OC(F)C(F)(F)C(F)C1F
ep-857189 C=C1OC(F)C(F)(F)C(F)C1(F)F
ep-857190 FC(F)=C1OC(F)C(F)(F)CC1F
ep-857191 FC=C1OC(F)C(F)(F)CC1(F)F
ep-857192 FC(F)=C1CC(F)(F)C(F)C(F)O1
ep-857193 FC=C1OC(F)C(F)C(F)(F)C1F
ep-857194 C=C1OC(F)C(F)C(F)(F)C1(F)F
ep-857195 FC(F)=C1OC(F)C(F)C(F)C1F
ep-857196 FC=C1OC(F)C(F)C(F)C1(F)F
ep-857197 FC(F)=C1OC(F)C(F)CC1(F)F
ep-857198 FC(F)=C1OC(F)CC(F)(F)C1F
ep-857199 FC=C1OC(F)CC(F)(F)C1(F)F
ep-857200 FC(F)=C1OC(F)CC(F)C1(F)F
ep-857201 FC(F)=C1CC(F)(F)C(F)(F)CO1
ep-857202 FC=C1OCC(F)(F)C(F)(F)C1F
ep-857203 C=C1OCC(F)(F)C(F)(F)C1(F)F
ep-857204 FC(F)=C1OCC(F)(F)C(F)C1F
ep-857205 FC=C1OCC(F)(F)C(F)C1(F)F
ep-857206 FC(F)=C1OCC(F)(F)CC1(F)F
ep-857207 FC(F)=C1OCC(F)C(F)(F)C1F
ep-857208 FC=C1OCC(F)C(F)(F)C1(F)F
ep-857209 FC(F)=C1OCC(F)C(F)C1(F)F
ep-857210 FC(F)=C1OCCC(F)(F)C1(F)F
ep-857211 FC=C1C=C(F)C(F)(F)C(F)(F)O1
ep-857212 C=C1OC(F)(F)C(F)(F)C(F)=C1F
ep-857213 FC(F)=C1C=CC(F)(F)C(F)(F)O1
ep-857214 FC=C1OC(F)(F)C(F)(F)C=C1F
ep-857215 FC1=CC(=C(F)F)OC(F)(F)C1F
ep-857216 FC=C1OC(F)(F)C(F)C(F)=C1F
ep-857217 FC1=CC(F)C(F)(F)OC1=C(F)F
ep-857218 FC(F)=C1OC(F)(F)CC(F)=C1F
ep-857219 FC1=CC(=C(F)F)OC(F)C1(F)F
ep-857220 FC=C1OC(F)C(F)(F)C(F)=C1F
ep-857221 FC1=CC(F)(F)C(F)OC1=C(F)F
ep-857222 FC(F)=C1OC(F)C(F)C(F)=C1F
ep-857223 FC(F)=C1OCC(F)(F)C(F)=C1F
ep-857224 C=C1OC(F)(C(F)(F)C(F)(F)F)O1
ep-857225 FC=C1OC(F)(C(F)(F)C(F)F)O1
ep-857226 FCC(F)(F)C1(F)OC(=C(F)F)O1
ep-857227 FC=C1OC(F)(C(F)C(F)(F)F)O1
ep-857228 FC(F)=C1OC(F)(C(F)C(F)F)O1
ep-857229 FC(F)=C1OC(F)(CC(F)(F)F)O1
ep-857230 FC=C1OC(C(F)(F)C(F)(F)F)O1
ep-857231 FC(F)=C1OC(C(F)(F)C(F)F)O1
ep-857232 FC(F)=C1OC(C(F)C(F)(F)F)O1
ep-857237 C=C1OC(F)(F)C(F)(F)C(F)(F)O1
ep-857238 FC=C1OC(F)C(F)(F)C(F)(F)O1
ep-857239 FC(F)=C1OCC(F)(F)C(F)(F)O1
ep-857240 FC=C1OC(F)(F)C(F)C(F)(F)O1
ep-857241 FC(F)=C1OC(F)C(F)C(F)(F)O1
ep-857242 FC(F)=C1OC(F)(F)CC(F)(F)O1
ep-857243 FC(F)=C1OC(F)C(F)(F)C(F)O1
ep-857244 CC(F)(C(F)(F)F)C1(F)OC1=CF
ep-857245 C=C1OC1(F)C(F)(CF)C(F)(F)F
